"""","選挙当日有権者数(人)","選挙当日有権者数_男(人)","選挙当日有権者数_女(人)","投票者数(人)","投票者数_男(人)","投票者数_女(人)","投票率(％)","投票率_男(％)","投票率_女(％)"
"県  計","828475.0","386300.0","442175.0","422947.0","200838.0","222109.0","51.05126889767344","51.990163085684706","50.23101713122633"
"","","","","","","","","",""
"   和歌山市","309449.0","144713.0","164736.0","144890.0","69152.0","75738.0","46.82193188538338","47.78561704891751","45.97537878787879"
"   海 南 市","45763.0","21120.0","24643.0","24106.0","11459.0","12647.0","52.67574241199222","54.25662878787879","51.32086190804691"
" 　橋 本 市","54274.0","25318.0","28956.0","28097.0","13516.0","14581.0","51.76880274164425","53.38494351844537","50.355712114933006"
" 　有 田 市","24956.0","11615.0","13341.0","12307.0","5859.0","6448.0","49.31479403750601","50.44339216530349","48.332208979836594"
" 　御 坊 市","20383.0","9546.0","10837.0","11289.0","5349.0","5940.0","55.38438895157729","56.03394091766185","54.81221740334041"
" 　田 辺 市","64818.0","30224.0","34594.0","32612.0","15607.0","17005.0","50.313184609213494","51.63777130757015","49.15592299242643"
" 　新 宮 市","25753.0","11705.0","14048.0","14065.0","6403.0","7662.0","54.61499631110939","54.70311832550192","54.54157175398633"
"   紀の川市","54461.0","25448.0","29013.0","27567.0","13197.0","14370.0","50.61787334055563","51.85869223514617","49.52952124909523"
"   岩 出 市","41804.0","19950.0","21854.0","19048.0","9238.0","9810.0","45.56501770165534","46.30576441102757","44.8888075409536"
"","","","","","","","","",""
"   紀美野町","8725.0","4007.0","4718.0","5305.0","2492.0","2813.0","60.80229226361031","62.19116546044422","59.622721492157694"
"","","","","","","","","",""
" 　かつらぎ町","15302.0","7076.0","8226.0","8938.0","4239.0","4699.0","58.4106652725134","59.90672696438666","57.12375395088743"
" 　九度山町","4103.0","1888.0","2215.0","2467.0","1150.0","1317.0","60.12673653424324","60.91101694915254","59.45823927765237"
" 　高 野 町","2998.0","1434.0","1564.0","1890.0","909.0","981.0","63.04202801867912","63.38912133891213","62.72378516624041"
"","","","","","","","","",""
" 　湯 浅 町","10817.0","5034.0","5783.0","5818.0","2760.0","3058.0","53.785707682351855","54.82717520858165","52.879128480027674"
" 　広 川 町","6226.0","2913.0","3313.0","3689.0","1724.0","1965.0","59.25152585929971","59.18297288019224","59.31180199215213"
"   有田川町","22486.0","10400.0","12086.0","12129.0","5731.0","6398.0","53.940229476118475","55.10576923076923","52.93728280655303"
"","","","","","","","","",""
" 　美 浜 町","6449.0","2955.0","3494.0","4081.0","1875.0","2206.0","63.28112885718716","63.45177664974619","63.13680595306239"
"　 日 高 町","6295.0","2919.0","3376.0","4175.0","1963.0","2212.0","66.32247815726767","67.24905789653991","65.52132701421802"
"　 由 良 町","5374.0","2540.0","2834.0","3516.0","1640.0","1876.0","65.42612579084481","64.56692913385827","66.19618913196895"
" 　印 南 町","7297.0","3409.0","3888.0","4824.0","2288.0","2536.0","66.10936001096341","67.11645643883837","65.22633744855966"
" 　みなべ町","11112.0","5233.0","5879.0","6622.0","3167.0","3455.0","59.59323254139669","60.51977832982992","58.76849804388501"
"   日高川町","8628.0","3980.0","4648.0","6341.0","2978.0","3363.0","73.49327770050996","74.82412060301507","72.35370051635111"
"","","","","","","","","",""
" 　白 浜 町","19119.0","8880.0","10239.0","9844.0","4584.0","5260.0","51.488048538103456","51.621621621621614","51.37220431682782"
" 　上富田町","12367.0","5829.0","6538.0","6446.0","3035.0","3411.0","52.122584296919214","52.067249957110995","52.17191801774243"
" 　すさみ町","3923.0","1834.0","2089.0","2584.0","1199.0","1385.0","65.86795819525874","65.3762268266085","66.29966491144089"
"","","","","","","","","",""
" 　那智勝浦町","14149.0","6507.0","7642.0","7919.0","3629.0","4290.0","55.968619690437485","55.77070846780391","56.13713687516358"
" 　太 地 町","2922.0","1301.0","1621.0","1909.0","850.0","1059.0","65.33196440793976","65.33435818601076","65.33004318322023"
" 　古座川町","2673.0","1202.0","1471.0","1879.0","855.0","1024.0","70.29554807332585","71.13144758735442","69.61250849762067"
" 　北 山 村","425.0","193.0","232.0","348.0","152.0","196.0","81.88235294117648","78.75647668393782","84.48275862068965"
" 　串 本 町","15424.0","7127.0","8297.0","8242.0","3838.0","4404.0","53.43620331950207","53.8515504419812","53.07942629866217"
